,Title,Citations,Date,Summary,Subfield,Topic,Doi,Open Acess,OA Url,Journal,WashU Proxy Server:
0,An artificial molecular pump,509,2015-05-15,"Carrier proteins consume fuel in order to pump ions or molecules across cell membranes, creating concentration gradients. Their control over diffusion pathways, effected entirely through noncovalent bonding interactions, has inspired chemists to devise artificial systems that mimic their function. Here, we report a wholly artificial compound that acts on small molecules to create a gradient in their local concentration. It does so by using redox energy and precisely organized noncovalent bonding interactions to pump positively charged rings from solution and ensnare them around an oligomethylene chain, as part of a kinetically trapped entanglement. A redox-active viologen unit at the heart of a dumbbell-shaped molecular pump plays a dual role, first attracting and then repelling the rings during redox cycling, thereby enacting a flashing energy ratchet mechanism with a minimalistic design. Our artificial molecular pump performs work repetitively for two cycles of operation and drives rings away from equilibrium toward a higher local concentration.",Organic Chemistry,Supramolecular Chemistry and Complexes,https://doi.org/10.1038/nnano.2015.96,True,https://durham-repository.worktribe.com/output/1400142,Nature Nanotechnology,https://libproxy.wustl.edu/login?url=https://doi.org/10.1038/nnano.2015.96
1,Tunable solid-state fluorescent materials for supramolecular encryption,429,2015-04-22,"Tunable solid-state fluorescent materials are ideal for applications in security printing technologies. A document possesses a high level of security if its encrypted information can be authenticated without being decoded, while also being resistant to counterfeiting. Herein, we describe a heterorotaxane with tunable solid-state fluorescent emissions enabled through reversible manipulation of its aggregation by supramolecular encapsulation. The dynamic nature of this fluorescent material is based on a complex set of equilibria, whose fluorescence output depends non-linearly on the chemical inputs and the composition of the paper. By applying this system in fluorescent security inks, the information encoded in polychromic images can be protected in such a way that it is close to impossible to reverse engineer, as well as being easy to verify. This system constitutes a unique application of responsive complex equilibria in the form of a cryptographic algorithm that protects valuable information printed using tunable solid-state fluorescent materials.",Materials Chemistry,Luminescence and Fluorescent Materials,https://doi.org/10.1038/ncomms7884,True,https://www.nature.com/articles/ncomms7884.pdf,Nature Communications,https://libproxy.wustl.edu/login?url=https://doi.org/10.1038/ncomms7884
2,An Elastic Hydrogen-Bonded Cross-Linked Organic Framework for Effective Iodine Capture in Water,300,2017-05-16,A crystalline microporous hydrogen-bonded cross-linked organic framework has been developed through covalent photo-cross-linking of molecular monomers that are assembled in a crystalline state. The elastic framework expands its void space to adsorb iodine rapidly with a high uptake capacity in an aqueous environment as well as recovering its crystalline form after the release of iodine.,Materials Chemistry,Covalent Organic Framework Applications,https://doi.org/10.1021/jacs.7b03204,False,,Journal of the American Chemical Society,https://libproxy.wustl.edu/login?url=https://doi.org/10.1021/jacs.7b03204
3,A simple and accessible synthetic lectin for glucose recognition and sensing,267,2012-08-03,"Binding carbohydrates from water is a difficult task, even for the natural carbohydrate-binding proteins known as lectins. The design of synthetic lectin mimics is correspondingly challenging, especially if good selectivities are required. In previous work we showed that success is possible, but only for complex polycyclic architectures that require lengthy and low-yielding syntheses; for example, one glucose-selective system was made in 21 steps and only 0.1% overall yield. Here we report the discovery of a simple monocyclic host that matches the earlier designs, but is far more accessible as it is prepared in just five steps and 23% overall yield. The new synthetic lectin binds glucose with excellent selectivity versus other common monosaccharides (for example, ~50:1 versus galactose) and sufficient affinity for glucose sensing at the concentrations found in blood. It also features a built-in signalling system in the form of strong and guest-dependent fluorescence emission. The effectiveness and simplicity of this molecule suggests the potential for development into a new methodology for practical glucose monitoring.",Organic Chemistry,Carbohydrate Chemistry and Synthesis,https://doi.org/10.1038/nchem.1409,True,https://research-information.bris.ac.uk/en/publications/7639a4a5-0aa8-44aa-bf18-8bd46572c2cb,Nature Chemistry,https://libproxy.wustl.edu/login?url=https://doi.org/10.1038/nchem.1409
4,Advanced Polymer Designs for Direct‐Ink‐Write 3D Printing,241,2019-05-14,"The rapid development of additive manufacturing techniques, also known as three-dimensional (3D) printing, is driving innovations in polymer chemistry, materials science, and engineering. Among current 3D printing techniques, direct ink writing (DIW) employs viscoelastic materials as inks, which are capable of constructing sophisticated 3D architectures at ambient conditions. In this perspective, polymer designs that meet the rheological requirements for direct ink writing are outlined and successful examples are summarized, which include the development of polymer micelles, co-assembled hydrogels, supramolecularly cross-linked systems, polymer liquids with microcrystalline domains, and hydrogels with dynamic covalent cross-links. Furthermore, advanced polymer designs that reinforce the mechanical properties of these 3D printing materials, as well as the integration of functional moieties to these materials are discussed to inspire new polymer designs for direct ink writing and broadly 3D printing.",Biomedical Engineering,3D Printing in Biomedical Research,https://doi.org/10.1002/chem.201900975,False,,Chemistry – A European Journal,https://libproxy.wustl.edu/login?url=https://doi.org/10.1002/chem.201900975
5,Cooperative capture synthesis: yet another playground for copper-free click chemistry,177,2016-01-01,Mechanistic considerations have led to the development of a highly efficient copper-free click reaction for the synthesis of oligo- and polyrotaxanes with potential commercial value.,Organic Chemistry,Click Chemistry and Applications,https://doi.org/10.1039/c6cs00055j,False,,Chemical Society Reviews,https://libproxy.wustl.edu/login?url=https://doi.org/10.1039/c6cs00055j
6,Hierarchical-Coassembly-Enabled 3D-Printing of Homogeneous and Heterogeneous Covalent Organic Frameworks,165,2019-03-26,"Covalent organic frameworks (COFs) are crystalline polymers with permanent porosity. They are usually synthesized as micrometer-sized powders or two-dimensional thin films and membranes for applications in molecular storage, separation, and catalysis. In this work, we report a general method to integrate COFs with imine or β-ketoenamine linkages into three-dimensional (3D)-printing materials. A 3D-printing template, Pluronic F127, was introduced to coassemble with imine polymers in an aqueous environment. By limitation of the degree of imine polycondensation during COF formation, the amorphous imine polymer and F127 form coassembled 3D-printable hydrogels with suitable shear thinning and rapid self-healing properties. After the removal of F127 followed by an amorphous-to-crystalline transformation, three β-ketoenamine- and imine-based COFs were fabricated into 3D monoliths possessing high crystallinity, hierarchical pores with high surface areas, good structural integrity, and robust mechanical stability. Moreover, when multiple COF precursor inks were employed for 3D printing, heterogeneous dual-component COF monoliths were fabricated with high spatial precision. This method not only enables the development of COFs with sophisticated 3D macrostructure but also facilitates the heterogeneous integration of COFs into devices with interconnected interfaces at the molecular level.",Materials Chemistry,Covalent Organic Framework Applications,https://doi.org/10.1021/jacs.9b01561,False,,Journal of the American Chemical Society,https://libproxy.wustl.edu/login?url=https://doi.org/10.1021/jacs.9b01561
7,Relative Unidirectional Translation in an Artificial Molecular Assembly Fueled by Light,133,2013-10-30,"Motor molecules present in nature convert energy inputs, such as a chemical fuel or incident photons of light, into directed motion and force biochemical systems away from thermal equilibrium. The ability not only to control relative movements of components in molecules but also to drive their components preferentially in one direction relative to each other using versatile stimuli is one of the keys to future technological applications. Herein, we describe a wholly synthetic small-molecule system that, under the influence of chemical reagents, electrical potential, or visible light, undergoes unidirectional relative translational motion. Altering the redox state of a cyclobis(paraquat-p-phenylene) ring simultaneously (i) inverts the relative heights of kinetic barriers presented by the two termini--one a neutral 2-isopropylphenyl group and the other a positively charged 3,5-dimethylpyridinium unit--of a constitutionally asymmetric dumbbell, which can impair the threading/dethreading of a [2]pseudorotaxane, and (ii) controls the ring's affinity for a 1,5-dioxynaphthalene binding site located in the dumbbell's central core. The formation and subsequent dissociation of the [2]pseudorotaxane by passage of the ring over the neutral and positively charged termini of the dumbbell component in one, and only one, direction relatively defined has been demonstrated by (i) spectroscopic ((1)H NMR and UV/vis) means and cyclic voltammetry as well as with (ii) DFT calculations and by (iii) comparison with control compounds in the shape of constitutionally symmetrical [2]pseudorotaxanes, one with two positively charged ends and the other with two neutral ends. The operation of the system relies solely on reversible, yet stable, noncovalent bonding interactions. Moreover, in the presence of a photosensitizer, visible-light energy is the only fuel source that is needed to drive the unidirectional molecular translation, making it feasible to repeat the operation numerous times without the buildup of byproducts.",Organic Chemistry,Supramolecular Chemistry and Complexes,https://doi.org/10.1021/ja4094204,True,https://durham-repository.worktribe.com/output/1402833,Journal of the American Chemical Society,https://libproxy.wustl.edu/login?url=https://doi.org/10.1021/ja4094204
8,Topochemical Synthesis of Single-Crystalline Hydrogen-Bonded Cross-Linked Organic Frameworks and Their Guest-Induced Elastic Expansion,133,2019-06-27,"Covalently linked single-crystalline porous organic materials are highly desired for structure-property analysis; however, periodically polymerizing organic entities into high dimensional networks is challenging. Here, we report a series of topologically divergent single-crystalline hydrogen-bonded cross-linked organic frameworks (H<sub>C</sub>OFs) with visible guest-induced elastic expansions, which mutually integrate high structural order and high flexibility into one framework. These H<sub>C</sub>OFs are synthesized by photo-cross-linking molecular crystals with alkyldithiols of different chain lengths. Their detailed structural information was revealed by single-crystal X-ray analysis and experimental investigations of H<sub>C</sub>OFs and their corresponding single-crystalline analogues. Upon guest adsorption, H<sub>C</sub>OF-2 crystals composed of a 3D self-entangled polymer network undergo anisotropic expansion to more than twice their original size, while the 2D-bilayer H<sub>C</sub>OF-3 crystals exhibit visible, layered sorption bands and form delaminated sheets along the plane of its 2D layers. The dynamic expansion of H<sub>C</sub>OF networks creates guest-induced porosity with over 473% greater volume than their permanent voids, as calculated from their record-breaking aqueous iodine adsorption capacities. Temperature-gated DMSO sorption investigations illustrated that the flexible nature of cross-linkers in H<sub>C</sub>OFs provides positive entropy from the coexistence of multiple conformations to allow for elastic expansion and contraction of the frameworks.",Inorganic Chemistry,Metal-Organic Frameworks: Synthesis and Applications,https://doi.org/10.1021/jacs.9b05232,True,http://hdl.handle.net/2434/656915,Journal of the American Chemical Society,https://libproxy.wustl.edu/login?url=https://doi.org/10.1021/jacs.9b05232
9,Pillar[5]arene as a Co-Factor in Templating Rotaxane Formation,128,2013-09-23,"After the manner in which coenzymes often participate in the binding of substrates in the active sites of enzymes, pillar[5]arene, a macrocycle containing five hydroquinone rings linked through their para positions by methylene bridges, modifies the binding properties of cucurbit[6]uril, such that the latter templates azide-alkyne cycloadditions that do not occur in the presence of only the cucurbit[6]uril, a macrocycle composed of six glycoluril residues doubly linked through their nitrogen atoms to each other by methylene groups. Here, we describe how a combination of pillar[5]arene and cucurbit[6]uril interacts cooperatively with bipyridinium dications substituted on their nitrogen atoms with 2-azidoethyl- to 5-azidopentyl moieties to afford, as a result of orthogonal templation, two [4]rotaxanes and one [5]rotaxane in >90% yields inside 2 h at 55 °C in acetonitrile. Since the hydroxyl groups on pillar[5]arene and the carbonyl groups on cucurbit[6]uril form hydrogen bonds readily, these two macrocycles work together in a cooperative fashion to the extent that the four conformational isomers of pillar[5]arene can be trapped on the dumbbell components of the [4]rotaxanes. In the case of the [5]rotaxane, it is possible to isolate a compound containing two pillar[5]arene rings with local C5 symmetries. In addition to fixing the stereochemistries of the pillar[5]arene rings, the regiochemistries associated with the 1,3-dipolar cycloadditions have been extended in their constitutional scope. Under mild conditions, orthogonal recognition motifs have been shown to lead to templation with positive cooperativity that is fast and all but quantitative, as well as being green and efficient.",Organic Chemistry,Supramolecular Chemistry and Complexes,https://doi.org/10.1021/ja407229h,True,https://durham-repository.worktribe.com/output/1431798,Journal of the American Chemical Society,https://libproxy.wustl.edu/login?url=https://doi.org/10.1021/ja407229h
